file,datetime,process,invert,plot,fcsv,finv,fvtk,fpng
GRAD_MMDCCC20200426_1741.Data,2020-04-26 17:41:07,True,True,True,processing/GRAD_MMDCCC20200426_1741.csv,./GRAD_MMDCCC20200426_1741.dat,inversion/./GRAD_MMDCCC20200426_1741_inv.vtk,inversion/./GRAD_MMDCCC20200426_1741_inv.png
GRAD_MMDCCC20200427_1426.Data,2020-04-27 14:26:59,True,True,True,processing/GRAD_MMDCCC20200427_1426.csv,./GRAD_MMDCCC20200427_1426.dat,inversion/./GRAD_MMDCCC20200427_1426_inv.vtk,inversion/./GRAD_MMDCCC20200427_1426_inv.png
GRAD_MMDCCC20200428_1459.Data,2020-04-28 14:59:59,True,True,True,processing/GRAD_MMDCCC20200428_1459.csv,./GRAD_MMDCCC20200428_1459.dat,inversion/./GRAD_MMDCCC20200428_1459_inv.vtk,inversion/./GRAD_MMDCCC20200428_1459_inv.png
GRAD_MMDCCC20200430_1501.Data,2020-04-30 15:01:11,True,True,True,processing/GRAD_MMDCCC20200430_1501.csv,./GRAD_MMDCCC20200430_1501.dat,inversion/./GRAD_MMDCCC20200430_1501_inv.vtk,inversion/./GRAD_MMDCCC20200430_1501_inv.png
GRAD_MMDCCC20200501_1335.Data,2020-05-01 13:35:52,True,True,True,processing/GRAD_MMDCCC20200501_1335.csv,./GRAD_MMDCCC20200501_1335.dat,inversion/./GRAD_MMDCCC20200501_1335_inv.vtk,inversion/./GRAD_MMDCCC20200501_1335_inv.png
GRAD_MMDCCC20200503_1604.Data,2020-05-03 16:04:49,True,True,True,processing/GRAD_MMDCCC20200503_1604.csv,./GRAD_MMDCCC20200503_1604.dat,inversion/./GRAD_MMDCCC20200503_1604_inv.vtk,inversion/./GRAD_MMDCCC20200503_1604_inv.png
GRAD_MMDCCC20200505_1513.Data,2020-05-05 15:13:37,True,True,True,processing/GRAD_MMDCCC20200505_1513.csv,./GRAD_MMDCCC20200505_1513.dat,inversion/./GRAD_MMDCCC20200505_1513_inv.vtk,inversion/./GRAD_MMDCCC20200505_1513_inv.png
GRAD_MMDCCC20200506_1232.Data,2020-05-06 12:32:48,True,True,True,processing/GRAD_MMDCCC20200506_1232.csv,./GRAD_MMDCCC20200506_1232.dat,inversion/./GRAD_MMDCCC20200506_1232_inv.vtk,inversion/./GRAD_MMDCCC20200506_1232_inv.png
GRAD_MMDCCC20200507_1154.Data,2020-05-07 11:54:53,True,True,True,processing/GRAD_MMDCCC20200507_1154.csv,./GRAD_MMDCCC20200507_1154.dat,inversion/./GRAD_MMDCCC20200507_1154_inv.vtk,inversion/./GRAD_MMDCCC20200507_1154_inv.png
GRAD_MMDCCC20200509_1305.Data,2020-05-09 13:05:05,True,True,True,processing/GRAD_MMDCCC20200509_1305.csv,./GRAD_MMDCCC20200509_1305.dat,inversion/./GRAD_MMDCCC20200509_1305_inv.vtk,inversion/./GRAD_MMDCCC20200509_1305_inv.png
GRAD_MMDCCC20200511_2055.Data,2020-05-11 20:55:49,True,True,True,processing/GRAD_MMDCCC20200511_2055.csv,./GRAD_MMDCCC20200511_2055.dat,inversion/./GRAD_MMDCCC20200511_2055_inv.vtk,inversion/./GRAD_MMDCCC20200511_2055_inv.png
GRAD_MMDCCC20200512_1543.Data,2020-05-12 15:43:14,True,True,True,processing/GRAD_MMDCCC20200512_1543.csv,./GRAD_MMDCCC20200512_1543.dat,inversion/./GRAD_MMDCCC20200512_1543_inv.vtk,inversion/./GRAD_MMDCCC20200512_1543_inv.png
GRAD_MMDCCC20200513_1256.Data,2020-05-13 12:56:54,True,True,True,processing/GRAD_MMDCCC20200513_1256.csv,./GRAD_MMDCCC20200513_1256.dat,inversion/./GRAD_MMDCCC20200513_1256_inv.vtk,inversion/./GRAD_MMDCCC20200513_1256_inv.png
GRAD_MMDCCC20200514_1248.Data,2020-05-14 12:48:26,True,True,True,processing/GRAD_MMDCCC20200514_1248.csv,./GRAD_MMDCCC20200514_1248.dat,inversion/./GRAD_MMDCCC20200514_1248_inv.vtk,inversion/./GRAD_MMDCCC20200514_1248_inv.png
GRAD_MMDCCC20200515_1158.Data,2020-05-15 11:58:58,True,True,True,processing/GRAD_MMDCCC20200515_1158.csv,./GRAD_MMDCCC20200515_1158.dat,inversion/./GRAD_MMDCCC20200515_1158_inv.vtk,inversion/./GRAD_MMDCCC20200515_1158_inv.png
GRAD_MMDCCC20200519_1335.Data,2020-05-19 13:35:38,True,True,True,processing/GRAD_MMDCCC20200519_1335.csv,./GRAD_MMDCCC20200519_1335.dat,inversion/./GRAD_MMDCCC20200519_1335_inv.vtk,inversion/./GRAD_MMDCCC20200519_1335_inv.png
GRAD_MMDCCC20200520_1428.Data,2020-05-20 14:28:32,True,True,True,processing/GRAD_MMDCCC20200520_1428.csv,./GRAD_MMDCCC20200520_1428.dat,inversion/./GRAD_MMDCCC20200520_1428_inv.vtk,inversion/./GRAD_MMDCCC20200520_1428_inv.png
GRAD_MMDCCC20200521_1405.Data,2020-05-21 14:05:54,True,True,True,processing/GRAD_MMDCCC20200521_1405.csv,./GRAD_MMDCCC20200521_1405.dat,inversion/./GRAD_MMDCCC20200521_1405_inv.vtk,inversion/./GRAD_MMDCCC20200521_1405_inv.png
GRAD_MMDCCC20200522_1232.Data,2020-05-22 12:32:54,True,True,True,processing/GRAD_MMDCCC20200522_1232.csv,./GRAD_MMDCCC20200522_1232.dat,inversion/./GRAD_MMDCCC20200522_1232_inv.vtk,inversion/./GRAD_MMDCCC20200522_1232_inv.png
GRAD_MMDCCC20200524_1158.Data,2020-05-24 11:59:03,True,True,True,processing/GRAD_MMDCCC20200524_1158.csv,./GRAD_MMDCCC20200524_1158.dat,inversion/./GRAD_MMDCCC20200524_1158_inv.vtk,inversion/./GRAD_MMDCCC20200524_1158_inv.png
GRAD_MMDCCC20200609_1516.Data,2020-06-09 15:16:57,True,True,True,processing/GRAD_MMDCCC20200609_1516.csv,./GRAD_MMDCCC20200609_1516.dat,inversion/./GRAD_MMDCCC20200609_1516_inv.vtk,inversion/./GRAD_MMDCCC20200609_1516_inv.png
GRAD_MMDCCC20200611_1527.Data,2020-06-11 15:27:33,True,True,True,processing/GRAD_MMDCCC20200611_1527.csv,./GRAD_MMDCCC20200611_1527.dat,inversion/./GRAD_MMDCCC20200611_1527_inv.vtk,inversion/./GRAD_MMDCCC20200611_1527_inv.png
GRAD_MMDCCC20200617_1518.Data,2020-06-17 15:18:22,True,True,True,processing/GRAD_MMDCCC20200617_1518.csv,./GRAD_MMDCCC20200617_1518.dat,inversion/./GRAD_MMDCCC20200617_1518_inv.vtk,inversion/./GRAD_MMDCCC20200617_1518_inv.png
